Supply and disposition,Gross withdrawals,Marketable production 3,Imports 4,Residential consumption,Industrial consumption 5,Commercial consumption,Exports 6,Opening inventory,Closing inventory,Inventory change
9/02/16,6671,6671,2261492,746996,873377,680663,144102,2684109.8,2799283.2,115173.4
10/02/16,7131,7131,2280006,507228,830443,469982,37968,2799283.2,3814212.9,1014929.7
11/02/16,6887.3,7170,2007019,272419,769407,264264,67440,3814212.9,5132945.2,1318732.2
12/02/16,6910.4,7188,2098492,170644,908876,174745,316617,5132945.2,6010640.2,877695.1
13/02/16,7301.2,7285,2520760,191750,839985,193208,226485,6010640.2,7419180.1,1408539.9
14/02/16,6969.1,6974,2274130,290562,798739,279685,71524,7419180.1,8813574.6,1394394.4
15/02/16,6997.1,7056,1848880,586465,834753,538896,147183,8813574.6,9082584.2,269009.7
16/02/16,7344,6702,2670893,1023976,996048,922259,562532,9082584.2,8475830.3,-606754
17/02/16,6475.7,6420,3387695,1143900,1033573,1027983,827501,8475830.3,7931012.1,-544818.2
18/02/16,6024.3,5971,2617785,1277479,1071003,1074737,717037,7931012.1,6558040,-1372972.1
19/02/16,5431.5,5380,2240393,1270003,1086638,1116054,714129,6558040,4853104.1,-1704935.9
20/02/16,6101.7,6029,2490877,992663,970314,913309,361978,4853104.1,4658886.4,-194217.7
21/02/16,5552,5552,2048348,795183,801681,669667,224234,4658886.4,4490496.4,-168390
22/02/16,5735,5735,1981374,494384,795860,416312,74869,4490496.4,5372346.5,881850.1
23/02/16,5249.4,5295,1991336,236315,838182,192779,214583,5372346.5,6447395.7,1075049.1
24/02/16,6626.3,6687,2184284,207052,989794,182579,427858,6447395.7,7448123.8,1000728.1
25/02/16,6449.6,6526,1631881,178952,876701,184427,336453,7448123.8,8026134.1,578010.4
26/02/16,6124.5,6184,1805960,273577,782240,254480,176094,8026134.1,8954392.8,928258.6
27/02/16,6177.8,6222,1941441,540847,900879,525603,338186,8954392.8,9110922.1,156529.3
28/02/16,5662.6,5693,2300419,755888,929057,695823,333469,9110922.1,9000386.5,-110535.5
29/02/16,6101,6114,2632275,1191166,1151158,1029976,806706,9000386.5,7854773.5,-1145613
1/03/16,5785.9,5791,2603205,1378043,1211712,951105,903203,7854773.5,6135498.9,-1719274.6
2/03/16,5253.7,5249,2024911,1354342,1278397,928500,877824,6135498.9,4197293.3,-1938205.6
3/03/16,5710.4,5701,2846102,959924,1071058,688878,496868,4197293.3,3606550.7,-590742.6
4/03/16,5894,5894,2176065.3,682445,900644,571597,197752,3606550.7,3994176.1,387625.4
5/03/16,6034,6034,2134027.7,432240,877146,302798,97225,3994176.1,4960883.2,966707.1
6/03/16,6107.7,6152,2094534.7,249683,977227,173437,247233,4960883.2,6016481.9,1055598.7
7/03/16,6522.3,6599,2074678.3,226328,911519,161131,264911,6016481.9,6939623.5,923141.6
8/03/16,5149,5210,2198837.7,214192,1298818,194927,380690,6939623.5,7543549,603925.6
9/03/16,4618.9,4656,2171405.6,226995,942341,232096,219275,7543549,8918200.9,1374651.9
10/03/16,5867.9,5942,1699089.8,365008,1045571,371361,198690,8918200.9,9269181.3,350980.4
11/03/16,5657.7,5706,2730178.8,740724,1245453,613432,583104,9269181.3,8910183.3,-358998.1
12/03/16,5798.8,5800,3284988.5,1152754,1349606,871018,665967,8910183.3,8497720.4,-412462.9
13/03/16,4928.8,4944,2342655.2,1576767,1814522,1209572,989928,8497720.4,5502179.1,-2995541.3
14/03/16,4486.6,4493,2238837.2,1265240,1536270,1014127,793573,5502179.1,3439592.1,-2062587
15/03/16,5074.6,5063,3242692,1046680,1457643,741643,558715,3439592.1,3123663.9,-315928.2
16/03/16,5290,5290,2388898.6,753169,1000930,574210,340250,3123663.9,3265889.2,142225.3
17/03/16,5840,5840,2576459.9,333136,909755,296077,239800,3265889.2,4576974.8,1311085.6
18/03/16,6145.2,5935,2095094.9,233289,863548,167521,242085,4576974.8,5728957.4,1151982.6
19/03/16,6574.4,6082,2158173,219438,1064920,147001,492301,5728957.4,6662204.4,933247.1
20/03/16,6499.6,6204,2231722,194759,1209126,150293,445797,6662204.4,7757494.7,1095290.3
21/03/16,6385.1,6005,1836601,230105,1015477,180201,223638,7757494.7,8744058.8,986564.1
22/03/16,5652.4,5712,2150986.7,458763,1108345,386952,238870,8744058.8,9154077.5,410018.7
23/03/16,5172.7,5218,2347957,800112,1132972,648866,472437,9154077.5,8924332,-229745.6
24/03/16,4674.4,4702,2559147.7,1128532,1505968,824868,924616,8924332,7457242.3,-1467089.7
25/03/16,5194.9,5199,2693324,1222372,1469122,864194,732579,7457242.3,6446551.2,-1010691.1
26/03/16,4288.8,4288,2486102,1263446,1155894,1218533,631260,6446551.2,5553370,-893181.2
27/03/16,5060.1,5060,2816982.5,1043949,1162454,989535,530599,5553370,5216350.3,-337019.7
28/03/16,5302,5302,1846633.5,659394,1054793,526792,141140,5216350.3,5479878.9,263528.6
29/03/16,5555,5555,1953077.2,342246,1035408,299266,89252,5479878.9,6491308.4,1011429.5
30/03/16,5340.9,5426,1778218.1,209761,1219664,143386,275913,6491308.4,7300190.2,808881.8
31/03/16,5541.6,5618,1809121.5,210329,1442861,149232,500013,7300190.2,7853431.8,553241.6
1/04/16,5695,5794,1265502,197688,1318748,142404,259518,7853431.8,8274100.8,420669
