Supply and disposition,Gross withdrawals,Marketable production 3,Imports 4,Residential consumption,Industrial consumption 5,Commercial consumption,Exports 6,Opening inventory,Closing inventory,Inventory change
March 2018,"6,445.00","6,525.00","2,489,362.00","1,054,825.00","962,311.00","952,603.00","704,449.00","4,224,681.40","3,141,479.80","-1,083,201.60"
April 2018,"7,206.10","7,308.00","2,362,294.00","872,481.00","927,481.00","793,588.00","544,442.00","3,141,479.80","3,239,201.50","97,721.80"
may-18,"7,487.60","7,635.00","1,648,230.00","348,660.00","784,843.00","335,220.00","64,219.00","3,239,201.50","3,390,714.10","151,512.60"
June 2018,"7,747.10","7,789.00","1,979,114.00","244,225.00","787,342.00","242,342.00","139,180.00","3,390,714.10","4,574,715.30","1,184,001.10"
July 2018,"7,763.00","7,787.00","2,244,655.00","189,540.00","859,671.00","195,059.00","296,388.00","4,574,715.30","5,685,840.30","1,111,125.10"
August 2018,"7,663.60","8,124.00","2,475,447.00","193,014.00","872,743.00","197,915.00","332,959.00","5,685,840.30","6,924,729.80","1,238,889.50"
September 2018,"7,782.80","7,827.00","2,425,453.00","308,413.00","849,407.00","298,607.00","169,789.00","6,924,729.80","8,330,207.60","1,405,477.70"
October 2018,"7,618.40","7,648.00","2,018,965.00","638,912.00","847,443.00","587,273.00","214,862.00","8,330,207.60","8,516,772.40","186,564.80"
November 2018,"7,362.40","7,379.00","2,914,529.00","1,032,269.00","1,012,565.00","931,112.00","504,461.00","8,516,772.40","8,231,943.40","-284,829.00"
December 2018,"6,802.80","6,837.00","3,155,474.00","1,139,235.00","1,050,261.00","1,025,057.00","703,530.00","8,231,943.40","7,603,338.80","-628,604.50"
January 2019,"7,699.20","7,463.00","2,558,097.00","1,439,519.00","1,137,854.00","1,286,915.00","919,613.00","7,603,338.80","5,540,680.60","-2,062,658.30"
February 2019,"6,514.50","6,518.00","2,468,749.00","1,340,903.00","1,113,810.00","1,201,344.00","706,442.00","5,540,680.60","3,692,096.40","-1,848,584.10"
March 2019,"6,928.90","6,869.00","2,691,762.00","1,126,010.00","1,068,158.00","1,013,035.00","594,004.00","3,692,096.40","2,684,109.80","-1,007,986.60"
April 2019,"6,671.00","6,671.00","2,261,492.00","746,996.00","873,377.00","680,663.00","144,102.00","2,684,109.80","2,799,283.20","115,173.40"
may-19,"7,131.00","7,131.00","2,280,006.00","507,228.00","830,443.00","469,982.00","37,968.00","2,799,283.20","3,814,212.90","1,014,929.70"
June 2019,"6,887.30","7,170.00","2,007,019.00","272,419.00","769,407.00","264,264.00","67,440.00","3,814,212.90","5,132,945.20","1,318,732.20"
July 2019,"6,910.40","7,188.00","2,098,492.00","170,644.00","908,876.00","174,745.00","316,617.00","5,132,945.20","6,010,640.20","877,695.10"
August 2019,"7,301.20","7,285.00","2,520,760.00","191,750.00","839,985.00","193,208.00","226,485.00","6,010,640.20","7,419,180.10","1,408,539.90"
September 2019,"6,969.10","6,974.00","2,274,130.00","290,562.00","798,739.00","279,685.00","71,524.00","7,419,180.10","8,813,574.60","1,394,394.40"
October 2019,"6,997.10","7,056.00","1,848,880.00","586,465.00","834,753.00","538,896.00","147,183.00","8,813,574.60","9,082,584.20","269,009.70"
November 2019,"7,344.00","6,702.00","2,670,893.00","1,023,976.00","996,048.00","922,259.00","562,532.00","9,082,584.20","8,475,830.30","-606,754.00"
December 2019,"6,475.70","6,420.00","3,387,695.00","1,143,900.00","1,033,573.00","1,027,983.00","827,501.00","8,475,830.30","7,931,012.10","-544,818.20"
January 2020,"6,024.30","5,971.00","2,617,785.00","1,277,479.00","1,071,003.00","1,074,737.00","717,037.00","7,931,012.10","6,558,040.00","-1,372,972.10"
February 2020,"5,431.50","5,380.00","2,240,393.00","1,270,003.00","1,086,638.00","1,116,054.00","714,129.00","6,558,040.00","4,853,104.10","-1,704,935.90"
March 2020,"6,101.70","6,029.00","2,490,877.00","992,663.00","970,314.00","913,309.00","361,978.00","4,853,104.10","4,658,886.40","-194,217.70"
